#nodeID	final
Mlc-c	0.792104227382
zip	0.00623785106699
Tm1	0.00434411687856
didum	0.00409428066899
Pglym87	0.00387773871064
Fibp	0.00386841537995
CG11459	0.00386614467677
CG10194	0.00386012953947
CG12691	0.00385308358856
CG13458	0.00374058888073
His2B	0.00373784682397
TFAM	0.00373485258968
CG15631	0.00371497204695
Pect	0.00371065391682
CG1307	0.00370901069145
CG11377	0.00358407890097
CG32276	0.00358117040082
dsh	0.00344368452521
sqh	0.00342621042595
fz	0.00340394304851
Rho1	0.00339534088644
pk	0.00338244064136
stan	0.00337648464598
dgo	0.00336696538973
Ubi-p63E	0.00307465156741
Act5C	0.00248719662812
IKKepsilon	0.00244916997381
Appl	0.00236330958551
Act42A	0.00228808913223
PICK1	0.00226554226776
Cdk2	0.00225903043869
PAN2	0.00225487874535
Spps	0.00224674874916
Cul1	0.00224660287116
cora	0.00224346070749
krz	0.00224290110586
Sce	0.00224262888177
CG3689	0.00224067147299
Mlh1	0.00224044215592
Drice	0.00224023979142
Su(z)12	0.00223979637022
CG8184	0.00223863193778
Dcp-1	0.00223835812192
Mob4	0.00223617984439
da	0.00223468949193
Usp12-46	0.0022340109878
eIF1	0.00223136243875
Usp16-45	0.00223067927317
CG7971	0.00222596083651
Cep135	0.00222532436123
Fer3HCH	0.00222234661806
Atg101	0.00221949723824
CG4096	0.00221655447681
Myc	0.00215061341471
jar	0.0021308105973
asp	0.0021202491994
ck	0.0021175359009
Hsc70-3	0.000217951939643
Hsc70-5	0.000204715683257
sgg	0.00015659530282
slou	0.000151804075962
Tsp	0.000151244153233
flw	0.00014378723674
Rac1	0.000137182737502
Pp1-87B	0.000137161873473
Usp10	0.000134494471432
Cam	0.000126612398666
PAPLA1	0.000123560269355
Mbs	0.000114088729514
RpS21	0.000111914968764
Mi-2	0.000111861467033
Nedd8	0.000108446435778
Nlp	0.000108408948896
CG15043	0.000106766666836
Map205	0.000101924684139
CkIIbeta	9.99227948776e-05
CkIIalpha	9.89523872929e-05
Fas2	9.56236270875e-05
arm	8.93993295682e-05
Ubi-p5E	8.78132126852e-05
14-3-3epsilon	8.60283966837e-05
CG46025	8.5725419119e-05
GstD4	8.5182785604e-05
gish	8.45523798395e-05
gskt	7.64917983895e-05
Vang	7.29720139858e-05
Mer	7.20937480372e-05
drk	6.97167129073e-05
CR31958	6.9638337623e-05
Pex5	6.88480789882e-05
Syx16	6.81877819449e-05
smt3	6.76339746722e-05
IKKbeta	6.56528069216e-05
Rbp9	6.22936106542e-05
CG3071	6.1853797101e-05
fne	6.15979513088e-05
CNBP	6.07303979258e-05
Srp9	6.06213072356e-05
Crk	5.96581094806e-05
gem	5.91273299114e-05
Lsd-2	5.89017562045e-05
cher	5.87864049758e-05
RpL13	5.83035885646e-05
yin	5.75635597998e-05
ND-13A	5.73851537309e-05
sxc	5.68576978827e-05
Ino80	5.60781843595e-05
PpD3	5.57692696074e-05
CG6808	5.57339563107e-05
CASK	5.56287253786e-05
Sgt	5.46399786904e-05
egg	5.37800808553e-05
bsk	5.32813027947e-05
SCCRO	5.24174112129e-05
14-3-3zeta	5.21640276121e-05
CanB	5.14828439007e-05
Pex19	5.09431867466e-05
CG6454	5.07565542921e-05
Bet3	4.97669343892e-05
Diap2	4.94673395859e-05
Patj	4.89297171552e-05
CG4853	4.85995739721e-05
His2A	4.8201156533e-05
rl	4.78856429036e-05
mts	4.74961832306e-05
CG15482	4.73569787476e-05
Ssl2	4.72877087185e-05
CG11893	4.69002811324e-05
N	4.66872098679e-05
Upf1	4.66822394056e-05
Egfr	4.64539221374e-05
Hsp83	4.64155234538e-05
Nedd4	4.58571183743e-05
nmo	4.5748441406e-05
dock	4.57089297369e-05
Abl	4.5676666233e-05
RpA-70	4.54604308354e-05
esn	4.52797077164e-05
dod	4.51354516535e-05
Mhc	4.4826599727e-05
Parp	4.46542789315e-05
fabp	4.4496331146e-05
CG5059	4.44253238744e-05
NetB	4.34683897939e-05
spi	4.33881486796e-05
Thor	4.3096441288e-05
p53	4.27553121557e-05
Sirt7	4.25690700478e-05
Xrcc2	4.22904189287e-05
Hsc70-4	4.19228112119e-05
Nab2	4.15037453535e-05
CG34404	3.92297257488e-05
Tm2	3.9209914573e-05
RPA2	3.91016908941e-05
Spn	3.89219749226e-05
kn	3.86239172602e-05
Chc	3.82483018559e-05
qkr58E-1	3.81106724848e-05
RpS3	3.79772508188e-05
Irbp	3.79698724913e-05
Pkc53E	3.76603273891e-05
Rpn1	3.7625456401e-05
mad2	3.74299988614e-05
polo	3.70936896792e-05
Rpn11	3.68393362578e-05
sbr	3.64110910065e-05
Hsc70-1	3.63354835891e-05
Neos	3.62886467713e-05
CG6701	3.62586484582e-05
Cdk1	3.62428020003e-05
Rac2	3.62002149106e-05
Jra	3.59817821222e-05
Rad23	3.58930442005e-05
Smox	3.5344755941e-05
baz	3.51415378391e-05
scny	3.5101607235e-05
CG43729	3.49818983375e-05
pum	3.49259203873e-05
HDAC1	3.47079404804e-05
alpha-Cat	3.46939882456e-05
CG13902	3.45852862677e-05
slmb	3.41530727313e-05
CG11876	3.40971624159e-05
Mad	3.40788611863e-05
aPKC	3.39537828736e-05
alpha-Spec	3.38359879117e-05
MED4	3.36374431662e-05
Swip-1	3.34990486341e-05
beta-Spec	3.3442932705e-05
Pka-C1	3.33357489119e-05
park	3.30619715281e-05
TER94	3.3055845869e-05
Akt1	3.29475318194e-05
CG15109	3.28467157605e-05
qkr54B	3.26669855907e-05
SkpA	3.26026195348e-05
sals	3.25450125578e-05
l(3)neo43	3.23605118583e-05
betaTub85D	3.22072379125e-05
Acam	3.19945323208e-05
CG7611	3.19822523002e-05
CG11658	3.1908738449e-05
esc	3.18139903572e-05
CG11486	3.17532552239e-05
Ten-m	3.16626401189e-05
P32	3.16535513918e-05
PCNA	3.15899020276e-05
CG5618	3.14721030143e-05
ppk12	3.11391758365e-05
ppk28	3.11329892129e-05
ppk26	3.11103288387e-05
ppk	3.11103288387e-05
rpk	3.11076595041e-05
ppk8	3.10629912534e-05
B52	3.10472856508e-05
ppk5	3.10381735692e-05
tmod	3.09970081913e-05
Prp31	3.09318480946e-05
Pak	3.08105909458e-05
CSN5	3.07092546302e-05
Gapdh2	3.05720542346e-05
Df31	3.02546912361e-05
eIF4B	3.01194386629e-05
fs(1)h	3.01184434228e-05
SC35	2.97592022195e-05
Chd64	2.96497610666e-05
escl	2.95459032148e-05
RpLP2	2.93830532808e-05
Hsp60C	2.93536105999e-05
DCTN1-p150	2.93304054441e-05
Dronc	2.91713609305e-05
eEF2	2.90864191448e-05
Vha55	2.90078792768e-05
dlg1	2.89353267221e-05
Prosalpha7	2.88797232642e-05
CSN6	2.88425926932e-05
Pka-R1	2.88344644366e-05
p120ctn	2.87045092251e-05
hpo	2.86419698207e-05
CG7483	2.84746216827e-05
qkr58E-2	2.83829342186e-05
Pglym78	2.83604023079e-05
Eno	2.82730701744e-05
msn	2.82289905845e-05
Pka-C3	2.81994470698e-05
dco	2.81401900581e-05
Ald	2.81041506908e-05
Saf-B	2.80522960338e-05
Lam	2.79446221581e-05
Ubqn	2.79130159187e-05
me31B	2.78492592493e-05
brm	2.78447446501e-05
CG32100	2.78373154894e-05
CG11023	2.7768485024e-05
CG32110	2.77078495125e-05
CCT2	2.76817239426e-05
Gapdh1	2.76446422943e-05
Rpt5	2.7595694935e-05
Gadd45	2.75791787241e-05
ps	2.75648302159e-05
Tip60	2.75628679628e-05
nej	2.74497740193e-05
Vkor	2.73772099181e-05
Usp7	2.73654464607e-05
CG6937	2.72974177587e-05
Cnx99A	2.71973461767e-05
Pp2A-29B	2.71842617551e-05
LamC	2.71671572124e-05
cpa	2.70959432084e-05
CG15784	2.69650242899e-05
Rab5	2.68905850862e-05
coro	2.68552554561e-05
Cdk4	2.68315765703e-05
Hsp60A	2.68241362816e-05
Ubc6	2.67203202577e-05
Trx-2	2.6717478949e-05
